ID,Namespace,Name,LevelZ_Skills,Description,Parent,Tab,XP_Value
001,minecraft:story/root,Minecraft,All,Open your inventory for the first time.,,Minecraft,25
002,minecraft:story/mine_stone,Stone Age,Mining,Mine stone with a pickaxe.,minecraft:story/root,Minecraft,50
003,minecraft:story/upgrade_tools,Getting an Upgrade,Smithing,Craft a better pickaxe (stone or higher).,minecraft:story/mine_stone,Minecraft,75
004,minecraft:story/smelt_iron,Acquire Hardware,Mining,Smelt iron ore into iron ingots.,minecraft:story/upgrade_tools,Minecraft,100
005,minecraft:story/obtain_armor,Suit Up,Defense,Equip any piece of armor.,minecraft:story/smelt_iron,Minecraft,100
006,minecraft:story/lava_bucket,Hot Stuff,Smithing,Fill a bucket with lava.,minecraft:story/smelt_iron,Minecraft,75
007,minecraft:story/iron_tools,Isn't It Iron Pick,Mining,Craft an iron pickaxe.,minecraft:story/upgrade_tools,Minecraft,100
008,minecraft:story/shield_block,"Not Today, Thank You",Defense,Block an attack with a shield.,minecraft:story/obtain_armor,Minecraft,125
009,minecraft:story/form_obsidian,Ice Bucket Challenge,Mining,Form a block of obsidian (usually by pouring water over lava).,minecraft:story/mine_stone,Minecraft,50
010,minecraft:story/mine_diamond,Diamonds!,Mining,Mine diamonds with an iron pickaxe or better.,minecraft:story/upgrade_tools,Minecraft,150
011,minecraft:story/enter_nether,We Need to Go Deeper,Mining;Agility,Enter the Nether dimension.,minecraft:story/mine_diamond,Minecraft,200
012,minecraft:story/diamonds_to_iron,Cover Me with Diamonds,Mining,Obtain a full set of diamond armor or tools.,minecraft:story/mine_diamond,Minecraft,300
013,minecraft:adventure/enchant_item,Enchanter,Alchemy;Smithing,Enchant an item at an enchantment table.,minecraft:story/root,Minecraft,150
014,minecraft:husbandry/cure_zombie_villager,Zombie Doctor,Alchemy,Cure a zombie villager using a potion and golden apple.,minecraft:story/root,Minecraft,250
015,minecraft:adventure/spyglass,Eye Spy,Agility,Use a spyglass to zoom in on something.,minecraft:story/root,Minecraft,50
016,minecraft:end/enter_end,The End?,Agility;Adventure,Enter the End dimension.,minecraft:story/enter_nether,Minecraft,350
017,minecraft:adventure/return_to_sender,Return to Sender,Archery;Adventure,Deflect a ghast fireball back to the shooter so it kills it.,minecraft:story/enter_nether,Nether,300
018,minecraft:nether/return_to_sender_root,Those Were the Days,Agility,Explore a Nether Ruin or similar (nether exploration).,minecraft:story/enter_nether,Nether,150
019,minecraft:adventure/hidden_in_depths,Hidden in the Depths,Mining,Find Ancient Debris or nether resources.,minecraft:story/enter_nether,Nether,300
020,minecraft:nether/subspace_bubble,Subspace Bubble,Mining,Collect crys. or use nether-related block (nether-related progression).,minecraft:story/enter_nether,Nether,200
021,minecraft:nether/fortress,A Terrible Fortress,Defense;Adventure,Find a Nether Fortress.,minecraft:story/enter_nether,Nether,250
022,minecraft:nether/ghast,Who is Cutting Onions?,Alchemy;Adventure,Encounter or kill a ghast or similar nether mob.,minecraft:story/enter_nether,Nether,200
023,minecraft:nether/oh_shiny,Oh Shiny,Mining,Find ancient debris or rare netherite resources.,minecraft:story/enter_nether,Nether,300
024,minecraft:adventure/this_boat_has_legs,This Boat Has Legs,Agility,Ride a strider or use a boat-like entity.,minecraft:story/enter_nether,Nether,150
025,minecraft:adventure/uneasy_alliance,Uneasy Alliance,Trade,Negotiate or interact beneficially with piglins (barter).,minecraft:story/enter_nether,Nether,200
026,minecraft:adventure/war_pigs,War Pigs,Strength,Ride a pig or kill hoglins; nether combat challenge.,minecraft:story/enter_nether,Nether,200
027,minecraft:adventure/country_lode_take_me_home,"Country Lode, Take Me Home",Agility,Explore biomes and find nether landmarks.,minecraft:story/enter_nether,Nether,150
028,minecraft:nether/cover_me_in_debris,Cover Me in Debris,Mining,Obtain an item made of netherite or debris.,minecraft:nether/oh_shiny,Nether,300
029,minecraft:adventure/spooky_scary_skeleton,Spooky Scary Skeleton,Strength,Kill a skeleton or related mob under special conditions.,minecraft:story/enter_nether,Nether,200
030,minecraft:nether/into_fire,Into Fire,Alchemy,Obtain blaze rod or fight blaze.,minecraft:story/enter_nether,Nether,250
031,minecraft:nether/not_quite_nine_lives,"Not Quite ""Nine"" Lives",Health,Respawn using Totem of Undying or similar mechanics.,minecraft:story/root,Nether,500
032,minecraft:nether/feels_like_home,Feels Like Home,Agility,Establish a respawn anchor or similar.,minecraft:story/enter_nether,Nether,150
033,minecraft:nether/hot_tourist_destinations,Hot Tourist Destinations,Agility,Visit multiple nether biomes or landmarks.,minecraft:story/enter_nether,Nether,200
034,minecraft:nether/withering_heights,Withering Heights,Strength,Encounter or defeat wither related activities.,minecraft:story/enter_nether,Nether,400
035,minecraft:nether/local_brewery,Local Brewery,Alchemy,Brew a potion using nether ingredients.,minecraft:nether/into_fire,Nether,200
036,minecraft:nether/bring_home_beacon,Bring Home the Beacon,Mining;Smithing,Create a beacon and bring one home from the nether/end.,minecraft:story/mine_diamond,Nether,400
037,minecraft:nether/a_furious_cocktail,A Furious Cocktail,Alchemy,Craft or consume a complex potion mixture.,minecraft:nether/local_brewery,Nether,250
038,minecraft:nether/beaconator,Beaconator,Mining,Build a full beacon pyramid and activate it.,minecraft:nether/bring_home_beacon,Nether,500
039,minecraft:nether/how_did_we_get_here,How Did We Get Here?,Alchemy,Obtain every potion effect at once (complex).,minecraft:nether/local_brewery,Nether,800
040,minecraft:end/the_end_again,The End... Again...,Agility,Return to the End through an End gateway.,minecraft:end/enter_end,The End,300
041,minecraft:end/you_need_a_mint,You Need a Mint,Luck,Collect a rare end drop or elytra related reward.,minecraft:end/the_end_again,The End,200
042,minecraft:end/city_at_the_end,The City at the End of the Game,Agility;Mining,Find an End City and loot it.,minecraft:end/enter_end,The End,400
043,minecraft:end/sky_is_the_limit,Sky's the Limit,Agility,Use elytra to fly to a great height or distance.,minecraft:end/enter_end,The End,300
044,minecraft:end/great_view_from_up_here,Great View From Up Here,Agility,Use a spyglass or elytra to view distant locations from high up.,minecraft:end/enter_end,The End,150
045,minecraft:adventure/voluntary_exile,Voluntary Exile,Agility,Leave spawn and travel far from origin.,minecraft:story/root,Adventure,50
046,minecraft:adventure/is_it_a_bird,Is It a Bird?,Agility,Use elytra or glide with a falling mechanic.,minecraft:adventure/voluntary_exile,Adventure,150
047,minecraft:adventure/monster_hunter,Monster Hunter,Strength,Kill a hostile mob.,minecraft:story/root,Adventure,50
048,minecraft:adventure/what_a_deal,What a Deal!,Trade,Perform a villager trade.,minecraft:story/root,Adventure,50
